Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,design,protection,installation,power_system,excel,job_simp,seniority,desc_len
Aircraft Tech Spec I (Cabin Innovation)/ R&D Electrical Engineer,Employer Provided Salary:$56 Per Hour,"Aviation Technology Associates (AVTECH) is looking for an Aircraft Tech Spec I (Cabin Innovation)/ R&D Electrical Engineer in Savannah, GA
Position Purpose:
Assists with the planning, coordination, performance of design, analysis and liaison engineering supporting the development and production of aircraft products and services

Principle Duties and Responsibilities:
Essential Functions:",-1.0,"Aviation Technology Associates, LLC","Savannah, GA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,1,1,112,112,56.0,"Aviation Technology Associates, LLC",GA,-1,1,0,0,0,0,electrical engineer,na,390
Student Support Aide - Electrical and Computer Eng,$27K - $40K (Glassdoor est.),"Tuscaloosa, Alabama, United States
Engineering
Engineering/Computer Science
Student
Temporary Part-time (No benefits)
Closing at: Jul 24 2022 at 22:55 CDT

Pay Grade/Pay Range: Non Classified - Grade NA
Department/Organization: 214251 - Electrical and Computer Eng",4.2,"The University of Alabama
4.2","Tuscaloosa, AL",1001 to 5000 Employees,-1,College / University,-1,-1,$500 million to $1 billion (USD),0,0,27,40,33.5,The University of Alabama,AL,-1,0,0,0,0,0,na,na,264
"Component Electrical Eng Co-op - Spring/Summer 2023 (Mason, OH)",$40K - $64K (Glassdoor est.),"Description:
Job Title: Component Electrical Engineer Co-op – Spring/Summer 2023 (Mason, OH)
Job Location: Mason, Ohio
Job Description:
Program team member to address and resolve critical issues.
Creation and implementation of Parts Management Plans (PMP).
Review bill of materials against program requirements to assess risk.
Provide support to subcontractors for all PMP concerns",3.6,"L3Harris Technologies
3.6","Mason, OH",10000+ Employees,2019,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,40,64,52.0,L3Harris Technologies,OH,1,0,0,0,0,0,na,na,381
Electrical Engineer,Employer Provided Salary:$83K - $89K,"Posting Information
Department
FS-Eng-Facilities Engineering-247200

Career Area
Engineering and Architecture

Is this an internal only recruitment?
No

Posting Open Date
08/18/2022",4.0,"University of North Carolina at Chapel Hill
4.0","Chapel Hill, NC",1 to 50 Employees,-1,College / University,Colleges & Universities,Education,$1 to $5 million (USD),0,1,83,89,86.0,University of North Carolina at Chapel Hill,NC,-1,0,0,0,0,0,electrical engineer,na,181
Electrical Engineer PE,$79K - $112K (Glassdoor est.),"ENG (ENG) is a 36 year old publicly listed (NASDAQ:ENG) EPF contractor (Engineering, Procurement, Fabrication) focused on innovative delivery of, cost-effective solutions.
ENGs expertise reaches three main market verticals: Oil & Gas, Energy & Renewables, Government, Automation & Integration. Services include EPF/ C(m) (Engineering, Procurement, Fabrication and Construction (Management)) projects with a large portion of self-perform work.
The Electrical Engineer’s primary function of responsibility is the development of electrical systems and projects from inception through construction and start-up in the Midstream Oil and Gas Industries. This position in particular will need to have experience in utility/power distribution.",2.8,"Englobal Master
2.8","Houston, TX",201 to 500 Employees,1985,Company - Public,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,0,0,79,112,95.5,Englobal Master,TX,35,0,1,0,0,0,electrical engineer,na,735
Sr Eng I-Electrical Engineer NS&E,Employer Provided Salary:$80 - $100 Per Hour,"Responsibilities:
This position is for an Electrical Engineer who will provide Defense Critical Infrastructure (DCI) technical support associated with a US Navy program. The successful candidate must have strong organizational and teamwork skills, proven problem-solving abilities, can-do attitude, and the desire to innovate designs. This role will support areas of On-site Assessment, Analysis and Characterization, Exercise and Contingency Support, Tools and Data Management, and Situational Awareness. Work with Electrical engineers and other technical disciplines in a team environment.
Analysis on a single asset to an analysis of an infrastructure network. The predominant focus will be on:
Telecommunications",-1.0,"InnoTech Construction, Inc.","Tullahoma, TN",51 to 200 Employees,2014,Company - Private,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable,1,1,160,200,90.0,"InnoTech Construction, Inc.",TN,6,1,0,0,0,0,electrical engineer,senior,716
Electrical/Cont Eng -14,$63K - $92K (Glassdoor est.),"Inspired to grow with your experience, learn and share with new colleagues?

Huhtamaki is a key global provider of sustainable packaging solutions for consumers around the world, enabling wellbeing and convenience. Our innovative products protect on-the-go and on-the-shelf food and beverages, ensuring hygiene and safety, and help prevent food waste.
We are committed to protecting food, people and the planet and are on the lookout for passionate and consummate professionals to join our growing team to help us deliver on our ambitious 2030 Strategy. We look for colleagues who Care, Dare and Deliver.
Join us to shape the future together!",3.5,"Huhtamaki Group
3.5","Hammond, IN",10000+ Employees,-1,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),0,0,63,92,77.5,Huhtamaki Group,IN,-1,0,0,0,0,0,na,na,642
Jr. Business Analysts,$69K - $105K (Glassdoor est.),"Entry Level Business Analysts:
Entry-Level Business Analysts sought by FL based IT co. with Bachelors/Masters of Business Administration/Comp Sc/Comp Eng/Info Systems/Technology mgmt./Electrical Eng etc orManagement to optimize and implement business strategies and improvements using data driven decision making;
Translate business requests into technical flows and database specifications using MS Excel and SQLServer based databases; examine portfolio level data and model; process modeling tools and techniques;
Develop basic SQL Queries and analyze data,
Documentation of client requirements, solution design, and other information to support the implementation of products,",-1.0,Wisefolks Technologies,"Dallas, TX",Unknown,-1,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,69,105,87.0,Wisefolks Technologies,TX,-1,1,0,0,0,1,na,jr,679
Quality/Reliability Eng II,$54K - $74K (Glassdoor est.),"Quality/Reliability Eng II
Job Description:
Come be DISRUPTIVE with us! At Milwaukee Tool, our most valued resource is our dedicated team of employees - employees who work with a passion to be the best and an unparalleled pride in their work and in the Milwaukee brand. We know that the only way to sustain growth and success is to value the growth and success of each person within the organization that's why we invest in an individual's growth and development from day one.
All our teams touch every step of the process, that is why our Engineering teams are some of the key contributors to our continuous innovations. The fast-paced, agile environment continuously delivers disruptive technologies by providing every team with the resources needed to excel and working directly with End Users to understand how to deliver heavy duty products with high performance. We create Best in Class products by leveraging advanced analysis tools, extensive testing regimes, state-of-the-art manufacturing processes and cross-functional agility.",4.4,"Milwaukee Electric Tool Corporation
4.4","Brookfield, WI",10000+ Employees,1924,Company - Public,Consumer Product Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,54,74,64.0,Milwaukee Electric Tool Corporation,WI,96,0,0,0,0,1,na,na,1038
Electrical & Computer Engineering Assoc./Full Professor,$38K - $61K (Glassdoor est.),"Tuscaloosa, Alabama, United States
Engineering
Tenure/Tenure-Track Faculty
Regular Full-time (Benefits eligible)
Closing at: May 31 2023 at 22:55 CDT

Department/Organization
214251 - Electrical and Computer Engineering
Rank
Associate/Full Professor",4.2,"The University of Alabama
4.2","Tuscaloosa, AL",1001 to 5000 Employees,-1,College / University,-1,-1,$500 million to $1 billion (USD),0,0,38,61,49.5,The University of Alabama,AL,-1,0,0,0,0,0,na,na,249
MECHANICAL ENG. CO-OP - FALL 2023 (VALDOSTA MILL),$39K - $58K (Glassdoor est.),"As a Fortune 500 company, Packaging Corporation of America (PCA) is an ideas and solutions company. Our corrugated packaging business seeks to be the leader in helping our customers — large and small — package, transport and display products of all kinds. Our white paper business delivers Paper With Purpose by providing the highest level of customer service and operational excellence. We have approximately 15,000 team members in more than 100 locations in the United States that strive to meet the local needs of our customers. Our mission is to serve the needs of our customers, today and tomorrow, with products and services that exceed expectations for performance and environmental responsibility.

People • Customers • Trust
We are seeking resumes for Engineering Co-ops (Multiple Openings for Fall 2023) at our Valdosta, GA. Paper Mill.",3.7,"Packaging Corporation of America
3.7","Valdosta, GA",10000+ Employees,1955,Company - Public,Wood & Paper Manufacturing,Manufacturing,$5 to $10 billion (USD),0,0,39,58,48.5,Packaging Corporation of America,GA,65,0,0,0,0,1,na,na,846
Faculty Part-time - Electrical & Computer Engineering,$65K - $95K (Glassdoor est.),"Job no: 510556
Position type: Faculty Part Time/Adjunct
Benefit Status: Non-Benefited - Union
Campus: UMass Lowell
Department: Electrical & Computer Eng
Salary: Salary commensurate with experience
Applications Open: Oct 13 2021
Applications Close:
General Summary of Position:
Adjunct faculty will be responsible for complete delivery of courses in the ECE department including course construction in blackboard, course delivery, student assessments (tests), grading exams and homework, and giving student grades.",4.2,"University of Massachusetts Lowell
4.2","Lowell, MA",1001 to 5000 Employees,-1,College / University,Colleges & Universities,Education,Less than $1 million (USD),0,0,65,95,80.0,University of Massachusetts Lowell,MA,-1,0,0,0,0,0,na,na,513
